state,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
alabama,4863300.0,4780131.0,0.017,0.06,0.064,0.226,0.237,0.161,0.138,0.516,0.515,0.693,0.268,0.006999999999999999,0.013999999999999999,0.001,0.016,0.042,0.6579999999999999,363170.0,0.035,2230185.0,2171853.0,0.687,125500.0,1139.0,345.0,717.0,15001.0,1848325.0,2.55,0.853,0.052000000000000005,0.843,0.235,0.11800000000000001,0.107,0.58,0.53,7576462.0,26039632.0,124809759.0,57746565.0,58564965.0,12145.0,24.4,43623.0,24091.0,0.171,98540.0,1634391.0,67370353.0,0.019,322025.0,374153.0,203604.0,137630.0,92219.0,272651.0,41943.0,316984.0,94.4,50645.33
alaska,741894.0,710249.0,0.045,0.073,0.076,0.252,0.264,0.10400000000000001,0.077,0.47700000000000004,0.48,0.6609999999999999,0.038,0.152,0.063,0.013000000000000001,0.073,0.07,0.612,69323.0,0.07400000000000001,310658.0,306967.0,0.634,250000.0,1827.0,554.0,1146.0,1503.0,250969.0,2.81,0.809,0.162,0.9209999999999999,0.28,0.081,0.155,0.677,0.65,2221335.0,6375483.0,,5216303.0,10474275.0,14320.0,19.0,72515.0,33413.0,0.099,20907.0,267999.0,15643303.0,0.004,55521.0,68032.0,35402.0,22141.0,13688.0,51147.0,7953.0,56091.0,1.2,570640.95
arizona,6931071.0,6392301.0,0.084,0.063,0.071,0.235,0.255,0.16899999999999998,0.138,0.503,0.503,0.833,0.049,0.054000000000000006,0.034,0.003,0.027999999999999997,0.309,0.555,505794.0,0.135,2961003.0,2844526.0,0.628,167500.0,1343.0,380.0,913.0,35578.0,2412212.0,2.69,0.813,0.26899999999999996,0.86,0.275,0.08199999999999999,0.11900000000000001,0.593,0.545,13996635.0,37055881.0,51243473.0,69437272.0,84716542.0,12927.0,24.8,50255.0,25848.0,0.16399999999999998,136352.0,2295186.0,102671393.0,0.024,451951.0,499926.0,245243.0,182425.0,135313.0,344981.0,46780.0,427582.0,56.3,113594.08
arkansas,2988248.0,2916025.0,0.025,0.064,0.068,0.23600000000000002,0.244,0.163,0.14400000000000002,0.509,0.509,0.794,0.157,0.01,0.016,0.003,0.02,0.073,0.7290000000000001,220953.0,0.047,1354762.0,1316299.0,0.6609999999999999,111400.0,1019.0,327.0,677.0,9474.0,1138025.0,2.53,0.8390000000000001,0.07200000000000001,0.848,0.21100000000000002,0.12300000000000001,0.09300000000000001,0.585,0.5329999999999999,4307264.0,15792628.0,62712925.0,31256110.0,36815256.0,12483.0,21.6,41371.0,22798.0,0.172,65175.0,1003113.0,39451191.0,0.011000000000000001,198380.0,231959.0,123158.0,75962.0,35982.0,189029.0,25915.0,192988.0,56.0,52035.48
california,39250017.0,37254522.0,0.054000000000000006,0.063,0.068,0.23199999999999998,0.25,0.136,0.114,0.503,0.503,0.727,0.065,0.017,0.14800000000000002,0.005,0.038,0.389,0.377,1777410.0,0.27,14060525.0,13680081.0,0.5429999999999999,385500.0,2155.0,500.0,1255.0,102350.0,12717801.0,2.96,0.852,0.439,0.818,0.314,0.068,0.083,0.631,0.5720000000000001,90830372.0,248953592.0,512303164.0,666652186.0,481800461.0,12665.0,28.0,61818.0,30318.0,0.14300000000000002,908120.0,14325377.0,856954246.0,0.035,3206958.0,3548449.0,1852580.0,1320085.0,1619857.0,1819107.0,252377.0,3176341.0,239.1,155779.22
colorado,5540545.0,5029324.0,0.102,0.061,0.068,0.228,0.244,0.134,0.109,0.49700000000000005,0.499,0.875,0.045,0.016,0.033,0.002,0.03,0.213,0.6859999999999999,391725.0,0.098,2339118.0,2212898.0,0.643,247800.0,1577.0,419.0,1002.0,38974.0,2024468.0,2.55,0.8079999999999999,0.16899999999999998,0.907,0.381,0.07200000000000001,0.086,0.6759999999999999,0.626,13617654.0,29488161.0,50447098.0,77034971.0,67815200.0,13073.0,24.8,60629.0,32217.0,0.11,161737.0,2253795.0,117539555.0,0.033,480847.0,547352.0,284554.0,194508.0,85849.0,442365.0,51722.0,469524.0,48.5,103641.89
connecticut,3576452.0,3574114.0,0.001,0.052000000000000005,0.057,0.21100000000000002,0.22899999999999998,0.161,0.142,0.512,0.513,0.8059999999999999,0.11800000000000001,0.005,0.047,0.001,0.023,0.157,0.677,199331.0,0.139,1499116.0,1487891.0,0.67,270500.0,2067.0,833.0,1075.0,5504.0,1352583.0,2.57,0.878,0.21899999999999997,0.899,0.376,0.071,0.057,0.672,0.628,9542068.0,29573119.0,55160095.0,161962244.0,51632467.0,14381.0,25.4,70331.0,38803.0,0.098,89232.0,1503102.0,92555072.0,0.012,272809.0,326693.0,187845.0,106678.0,56113.0,259614.0,31056.0,281182.0,738.1,4842.36
delaware,952065.0,897936.0,0.06,0.057999999999999996,0.062,0.215,0.22899999999999998,0.175,0.14400000000000002,0.516,0.516,0.701,0.226,0.006,0.04,0.001,0.026000000000000002,0.092,0.629,71213.0,0.087,426149.0,405885.0,0.7120000000000001,231500.0,1537.0,445.0,1018.0,5804.0,344022.0,2.62,0.866,0.129,0.884,0.3,0.085,0.066,0.631,0.594,2148437.0,7003251.0,22597384.0,5628914.0,14456001.0,15763.0,25.5,60509.0,30554.0,0.11699999999999999,24852.0,397385.0,21305227.0,0.015,60734.0,73418.0,38328.0,23964.0,14440.0,54782.0,7206.0,60318.0,460.8,1948.54
florida,20612439.0,18804592.0,0.096,0.055,0.057,0.201,0.213,0.19899999999999998,0.17300000000000001,0.511,0.511,0.7759999999999999,0.168,0.005,0.028999999999999998,0.001,0.021,0.249,0.5489999999999999,1507738.0,0.19699999999999998,9301642.0,8989580.0,0.653,159000.0,1435.0,463.0,1002.0,116240.0,7300494.0,2.63,0.838,0.281,0.8690000000000001,0.273,0.085,0.153,0.588,0.547,49817925.0,124061425.0,96924106.0,252626608.0,273867145.0,14177.0,26.4,47507.0,26829.0,0.147,532830.0,7777990.0,337074525.0,0.045,2040339.0,2100187.0,1084885.0,807817.0,926112.0,1121749.0,185756.0,1846686.0,350.6,53624.76
georgia,10310371.0,9688680.0,0.064,0.064,0.071,0.244,0.257,0.131,0.107,0.513,0.512,0.612,0.32,0.005,0.040999999999999995,0.001,0.021,0.094,0.534,670617.0,0.098,4218776.0,4088801.0,0.633,148100.0,1346.0,392.0,879.0,51675.0,3574362.0,2.73,0.84,0.136,0.8540000000000001,0.28800000000000003,0.08800000000000001,0.14800000000000002,0.623,0.579,18976611.0,51800643.0,155836792.0,143645290.0,119801495.0,12077.0,27.4,49620.0,25737.0,0.16,224593.0,3692490.0,174839354.0,0.04,870897.0,929864.0,480578.0,376506.0,371588.0,538893.0,96787.0,800585.0,168.4,57513.49
