"Female persons, percent",Housing units,"Persons 65 years and over, percent","Persons under 18 years, percent","Persons under 5 years, percent",Population estimates,handgun,long_gun,multiple,other,permit,state,totals,year
0.516,2230185,0.161,0.226,0.06,4863300,106051,65852,4228,4266,173435,Alabama,377414,2016
0.477,310658,0.104,0.252,0.073,741894,20723,18611,1219,1620,1788,Alaska,46903,2016
0.503,2961003,0.169,0.235,0.063,6931071,97667,56275,4439,7260,45008,Arizona,230724,2016
0.509,1354762,0.163,0.236,0.064,2988248,47751,36194,2536,1767,36112,Arkansas,145960,2016
0.503,14060525,0.136,0.232,0.063,39250017,311432,237872,0,57685,723586,California,1338152,2016
0.497,2339118,0.134,0.228,0.061,5540545,136696,93561,7771,8756,56043,Colorado,304322,2016
0.512,1499116,0.161,0.211,0.052,3576452,85582,28291,0,1709,108659,Connecticut,224288,2016
0.516,426149,0.175,0.215,0.058,952065,14904,10476,540,727,5546,Delaware,33197,2016
0.511,9301642,0.199,0.201,0.055,20612439,384397,167826,13776,24436,207639,Florida,826773,2016
0.513,4218776,0.131,0.244,0.064,10310371,114230,57690,4141,3716,147135,Georgia,351694,2016
0.498,537114,0.171,0.216,0.064,1428557,0,0,0,0,10338,Hawaii,10364,2016
0.499,700825,0.151,0.26,0.068,1683140,26110,27111,1358,1592,24594,Idaho,86938,2016
0.509,5326970,0.146,0.229,0.06,12801539,179261,83869,6070,0,863508,Illinois,1141677,2016
0.507,2854546,0.149,0.238,0.064,6633053,165322,88329,5198,10443,759753,Indiana,1033411,2016
0.503,1380162,0.164,0.233,0.064,3134693,1443,16724,32,260,106656,Iowa,126127,2016
0.502,1259864,0.15,0.246,0.067,2907289,48069,35595,2374,3027,9963,Kansas,106143,2016
0.507,1965556,0.156,0.228,0.062,4436974,82693,52031,4076,2294,2075886,Kentucky,2241872,2016
0.511,2036975,0.144,0.238,0.066,4681666,100680,59978,4544,6708,16697,Louisiana,203205,2016
0.51,730705,0.194,0.191,0.049,1331479,28614,21295,1170,1647,4169,Maine,58840,2016
0.516,2447127,0.146,0.224,0.061,6016447,29869,36190,191,954,21838,Maryland,90660,2016
0.515,2858026,0.158,0.202,0.053,6811779,44210,23459,1548,5343,54482,Massachusetts,129670,2016
0.508,4560055,0.162,0.221,0.058,9928300,100810,62553,1513,3623,162800,Michigan,343679,2016
0.502,2409935,0.151,0.233,0.064,5519952,78860,68445,2871,6039,186992,Minnesota,347816,2016
0.515,1307441,0.151,0.241,0.063,2988726,70839,38110,2823,2321,11659,Mississippi,143468,2016
0.509,2760084,0.161,0.228,0.061,6093000,163069,97545,7124,10050,78155,Missouri,375259,2016
0.497,497756,0.177,0.218,0.06,1042520,22013,28876,1505,1203,13122,Montana,76091,2016
0.502,827156,0.15,0.248,0.07,1907116,859,12343,50,149,36030,Nebraska,50449,2016
0.499,1221698,0.15,0.23,0.063,2940058,38466,20254,1952,1864,19771,Nevada,85647,2016
0.505,625307,0.17,0.195,0.048,1334795,39821,23775,34,1162,29551,New Hampshire,95190,2016
0.512,3604409,0.153,0.222,0.058,8944469,43276,26007,0,1464,0,New Jersey,70747,2016
0.505,917568,0.165,0.236,0.062,2081015,40385,29154,2156,2813,9100,New Mexico,91285,2016
0.514,8231687,0.154,0.212,0.059,19745289,78818,96680,1356,7264,31037,New York,219157,2016
0.514,4540498,0.155,0.227,0.06,10146788,9094,83170,1623,5521,206390,North Carolina,334300,2016
0.487,368624,0.145,0.233,0.073,757952,12118,17107,527,756,8620,North Dakota,40654,2016
0.51,5164361,0.162,0.225,0.06,11614373,235119,124455,9306,14348,105483,Ohio,505508,2016
0.505,1721045,0.15,0.245,0.068,3923561,99764,62987,6054,7703,0,Oklahoma,201571,2016
0.505,1732786,0.168,0.212,0.058,4093465,102037,74677,0,0,323,Oregon,177053,2016
0.51,5612002,0.174,0.209,0.056,12784227,362732,78346,0,92,190694,Pennsylvania,636758,2016
0.514,462589,0.165,0.197,0.052,1056426,8476,5699,1061,459,0,Rhode Island,15968,2016
0.515,2236153,0.167,0.221,0.059,4961119,77211,39293,2429,3778,92424,South Carolina,228066,2016
0.496,383838,0.16,0.246,0.071,865454,21495,23633,1201,1713,9317,South Dakota,59733,2016
0.512,2919671,0.157,0.226,0.061,6651194,185750,103356,8687,0,40164,Tennessee,398999,2016
0.504,10753629,0.12,0.262,0.072,27862596,382857,229184,18450,23290,253124,Texas,986866,2016
0.497,1054164,0.105,0.302,0.083,3051217,26318,25309,1191,1899,113799,Utah,174063,2016
0.506,329525,0.181,0.19,0.049,624594,11189,9784,511,780,0,Vermont,22314,2016
0.508,3491054,0.146,0.222,0.061,8411808,168077,102611,0,6740,5581,Virginia,283050,2016
0.5,3025685,0.148,0.224,0.062,7288000,123792,77827,4479,13065,198516,Washington,445314,2016
0.505,886640,0.188,0.205,0.055,1831102,53672,38828,3089,2120,17984,West Virginia,134301,2016
0.503,2668444,0.161,0.223,0.058,5778708,108650,80866,324,5820,64029,Wisconsin,262844,2016
0.489,270600,0.15,0.237,0.065,585501,12981,13547,741,889,4969,Wyoming,35611,2016
0.515,2171853,0.138,0.237,0.064,4780131,106051,65852,4228,4266,173435,Alabama,377414,2016
0.48,306967,0.077,0.264,0.076,710249,20723,18611,1219,1620,1788,Alaska,46903,2016
0.503,2844526,0.138,0.255,0.071,6392301,97667,56275,4439,7260,45008,Arizona,230724,2016
0.509,1316299,0.144,0.244,0.068,2916025,47751,36194,2536,1767,36112,Arkansas,145960,2016
