state,year,permit,handgun,long_gun,other,multiple,totals,Total accommodation and food services sales,Total health care and social assistance receipts/revenue,Total manufacturers shipments,Total merchant wholesaler sales,Total retail sales,Total retail sales per capita,All firms,Men-owned firms,Women-owned firms,Minority-owned firms,Nonminority-owned firms,Veteran-owned firms,Nonveteran-owned firms
Alabama,2012,6135,177239,184072,4348,9227,431356,7576462,26039632,124809759,57746565,58564965,12145,374153,203604,137630,92219,272651,41943,316984
Alaska,2012,89,35851,40505,1646,2337,85342,2221335,6375483,0,5216303,10474275,14320,68032,35402,22141,13688,51147,7953,56091
Arizona,2012,55725,139050,107079,5528,6670,339663,13996635,37055881,51243473,69437272,84716542,12927,499926,245243,182425,135313,344981,46780,427582
Arkansas,2012,36490,69481,94539,1336,4431,246193,4307264,15792628,62712925,31256110,36815256,12483,231959,123158,75962,35982,189029,25915,192988
California,2012,324057,375569,423207,809,0,1132603,90830372,248953592,512303164,666652186,481800461,12665,3548449,1852580,1320085,1619857,1819107,252377,3176341
Colorado,2012,41271,184989,170969,4939,12650,414838,13617654,29488161,50447098,77034971,67815200,13073,547352,284554,194508,85849,442365,51722,469524
Connecticut,2012,117327,63570,53992,2521,0,237496,9542068,29573119,55160095,161962244,51632467,14381,326693,187845,106678,56113,259614,31056,281182
Delaware,2012,36,15684,13873,465,601,30724,2148437,7003251,22597384,5628914,14456001,15763,73418,38328,23964,14440,54782,7206,60318
Florida,2012,4,473185,296793,12654,20245,834319,49817925,124061425,96924106,252626608,273867145,14177,2100187,1084885,807817,926112,1121749,185756,1846686
Georgia,2012,120240,149486,138183,2622,7108,465560,18976611,51800643,155836792,143645290,119801495,12077,929864,480578,376506,371588,538893,96787,800585
Hawaii,2012,17406,2,2,2,2,17428,9536706,8136947,0,9607982,18901745,13576,118454,60409,44453,74208,38510,11148,101334
Idaho,2012,27810,35429,57061,1107,2239,136482,2680225,7895614,20201432,17906012,20444278,12812,146642,70438,45121,10592,130973,12804,124314
Illinois,2012,670197,181910,174405,0,9549,1036061,27937381,83431778,281037755,295456992,166634514,12942,1135017,609648,417500,311684,795129,89110,1006885
