"Total employment, percent change",handgun,long_gun,multiple,other,permit,state,totals,year
0.019,178355,170815,9254,6715,204273,Alabama,621305,2014
0.004,35694,39625,2278,2279,2714,Alaska,87623,2014
0.024,123375,91086,6216,7480,56033,Arizona,310672,2014
0.011,60520,82670,4086,1556,48399,Arkansas,234282,2014
0.035,495962,369009,0,49227,547611,California,1474616,2014
0.033,182498,156062,11334,8756,54514,Colorado,413284,2014
0.012,78637,59470,0,1508,130334,Connecticut,270297,2014
0.015,19310,19271,812,824,2468,Delaware,42950,2014
0.045,469636,274733,19817,22072,204480,Florida,1034546,2014
0.04,145921,124217,6693,3997,156469,Georgia,484580,2014
0.009,0,0,0,0,15225,Hawaii,15225,2014
0.03,31731,50879,2033,1450,33730,Idaho,131742,2014
0.022,235090,155203,9640,0,944162,Illinois,1344096,2014
0.022,205212,159207,7351,9370,258993,Indiana,647550,2014
0.017,2130,35314,50,262,88110,Iowa,127022,2014
0.01,60729,71160,3810,2953,22361,Kansas,172167,2014
0.029,103090,109069,6842,2331,2221902,Kentucky,2492184,2014
0.004,127666,146614,7075,6389,30,Louisiana,315357,2014
0.016,32357,43264,1771,1545,0,Maine,83085,2014
0.01,55012,64067,142,906,19079,Maryland,142207,2014
0.026,59663,33395,1919,4032,80130,Massachusetts,179344,2014
0.032,110011,125769,2244,3733,177757,Michigan,424091,2014
0.018,92969,132957,3945,4869,237357,Minnesota,481122,2014
0.016,78174,88191,4007,2158,8266,Mississippi,214829,2014
0.016,216695,188792,11118,9204,58191,Missouri,517063,2014
0.031,32607,55323,2793,1065,11504,Montana,121836,2014
0.023,1332,26356,52,184,39333,Nebraska,68568,2014
0.037,48428,35808,3075,2627,21226,Nevada,116735,2014
0.023,47546,38906,21,952,36823,New Hampshire,124677,2014
0.009,49910,40664,0,1745,0,New Jersey,92320,2014
0.039,58328,52902,3315,3062,8885,New Mexico,139780,2014
0.018,96738,180565,1637,6510,76653,New York,365427,2014
0.031,12049,165134,2821,5549,939853,North Carolina,1182349,2014
0.014,18892,38922,1095,711,8264,North Dakota,70548,2014
0.018,303396,235600,14053,14730,0,Ohio,596389,2014
0.008,147548,135431,10722,8963,0,Oklahoma,348495,2014
0.038,123605,118887,0,0,538,Oregon,243044,2014
0.01,507888,151566,0,175,239166,Pennsylvania,899241,2014
0.01,10045,8419,1342,489,0,Rhode Island,20400,2014
0.028,95071,79138,3688,4018,83278,South Carolina,289764,2014
0.016,27448,48624,1828,1221,48,South Dakota,83659,2014
0.022,229718,189845,10563,0,103268,Tennessee,533394,2014
0.032,513197,504240,29528,27837,251155,Texas,1465992,2014
0.049,33765,47327,1757,1308,172139,Utah,263812,2014
0.02,13914,16346,561,647,0,Vermont,31502,2014
0.012,221407,187656,0,9969,732,Virginia,419764,2014
0.029,167432,130056,6636,13687,132184,Washington,482115,2014
-0.017,76988,89577,5367,2504,11412,West Virginia,221847,2014
0.022,125208,144916,520,5406,52710,Wisconsin,334308,2014
