month,state,permit,handgun,long_gun,other,multiple,totals
2019-12-01,Alabama,33683,33020,25882,1560,1382,100100
2019-12-01,Alaska,386,3455,3080,397,215,7840
2019-12-01,Arizona,4536,18178,10423,1560,1109,38171
2019-12-01,Arkansas,2339,8671,10957,531,458,25699
2019-12-01,California,29544,40637,30780,4883,0,106600
2019-12-01,Colorado,4867,22531,16681,1762,1333,47496
2019-12-01,Connecticut,4329,5655,2215,706,0,13289
2019-12-01,Delaware,153,2075,2301,120,94,4920
2019-12-01,Florida,15238,67435,31580,4458,3150,128789
2019-12-01,Georgia,19493,21514,17664,880,807,63154
2019-12-01,Hawaii,1195,0,0,0,0,1199
2019-12-01,Idaho,5207,6745,7111,514,328,20609
2019-12-01,Illinois,15241,24792,13258,0,1107,548192
2019-12-01,Indiana,757,26770,18746,2075,1239,81766
2019-12-01,Iowa,6589,271,4421,81,3,19747
2019-12-01,Kansas,1324,8092,8653,716,476,20244
2019-12-01,Kentucky,1160,16185,14471,729,753,405291
2019-12-01,Louisiana,943,14237,16743,912,767,35358
2019-12-01,Maine,301,3651,4119,348,211,8806
2019-12-01,Maryland,3446,4175,6878,186,34,15005
2019-12-01,Massachusetts,6973,4516,2789,510,196,15069
2019-12-01,Michigan,15746,14303,14075,1008,332,49209
2019-12-01,Minnesota,9676,9835,11241,1023,514,58701
2019-12-01,Mississippi,1515,12935,14538,536,593,32804
2019-12-01,Missouri,3695,26084,22222,2346,1321,58129
2019-12-01,Montana,1365,4169,5522,301,249,12540
2019-12-01,Nebraska,4689,173,3205,44,4,8271
2019-12-01,Nevada,1622,6307,3636,385,362,12762
2019-12-01,New Hampshire,1081,5471,3255,322,0,10232
2019-12-01,New Jersey,0,3747,4341,216,0,8427
2019-12-01,New Mexico,760,7794,5184,584,421,15629
2019-12-01,New York,3069,8899,16654,1517,224,32574
2019-12-01,North Carolina,23541,2559,22945,1295,245,54582
2019-12-01,North Dakota,261,2155,3171,175,120,6058
2019-12-01,Ohio,9850,31054,23312,2223,1380,69642
2019-12-01,Oklahoma,2309,19110,14320,1574,1223,41600
2019-12-01,Oregon,5009,17610,14016,0,4,37374
2019-12-01,Pennsylvania,21995,53180,20278,32,0,96382
2019-12-01,Rhode Island,0,1117,794,84,217,2406
2019-12-01,South Carolina,7891,14905,11857,1005,655,37962
2019-12-01,South Dakota,467,3264,4482,262,207,8999
2019-12-01,Tennessee,10319,35893,26800,1899,0,75036
2019-12-01,Texas,25456,69732,53386,4713,3398,166241
2019-12-01,Utah,11139,5893,6783,407,0,87883
2019-12-01,Vermont,0,1610,1613,151,83,3484
