state,year,State Code,Region,population,population ratio,population  region ratio,area,area density,land,land density,water,water density
Alabama,2010,AL,South,4785437,0.015470746,0.041660793,135767,35.2474239,131171,34.05422407,4597,1.193459439
Alaska,2010,AK,West,713910,0.002307986,0.009901604,1723337,0.41426024,1477953,0.355274195,245384,0.058986046
Arizona,2010,AZ,West,6407172,0.020713622,0.088864539,295234,21.70201264,294207,21.62652009,1026,0.07541904
Arkansas,2010,AR,South,2921964,0.009446361,0.025437873,137732,21.21485203,134771,20.75876937,2961,0.45608266
California,2010,CA,West,37319502,0.120649492,0.517604387,423967,88.02454436,403466,83.7681018,20501,4.256442563
Colorado,2010,CO,West,5047349,0.016317476,0.070004417,269601,18.72155148,268431,18.64030469,1170,0.081246788
Connecticut,2010,CT,Northeast,3579114,0.011570848,0.064628121,14357,249.2940029,12542,217.7784624,1816,31.53290446
Delaware,2010,DE,South,899593,0.002908277,0.007831627,6446,139.5583307,5047,109.2694532,1399,30.28887755
District of Columbia,2010,DC,South,605226,0.001956623,0.005268943,177,3419.355932,158,3052.306425,19,367.0495068
Florida,2010,FL,South,18845537,0.06092537,0.164064435,170312,110.6530192,138887,90.23595444,31424,20.41641502
Georgia,2010,GA,South,9711881,0.031397351,0.084549157,153910,63.10103957,148959,61.07119585,4951,2.02984372
Hawaii,2010,HI,West,1363963,0.004409529,0.018917542,28313,48.17444284,16635,28.30437808,11678,19.87006476
Idaho,2010,ID,West,1570746,0.005078034,0.021785527,216443,7.257088471,214045,7.176686249,2398,0.080402222
Illinois,2010,IL,Midwest,12840503,0.041511812,0.191722508,149995,85.60620687,143793,82.06655759,6202,3.539649289
Indiana,2010,IN,Midwest,6490432,0.020982791,0.096909124,94326,68.80851515,92789,67.68731116,1537,1.121203992
Iowa,2010,IA,Midwest,3050745,0.009862694,0.045550901,145746,20.93192952,144669,20.7772516,1077,0.15467792
Kansas,2010,KS,Midwest,2858190,0.009240187,0.042675848,213100,13.41243548,211754,13.32771873,1346,0.084716744
